"fipscounty","name","total_pop","medicare_enrolled","medicaid_enrolled","pct_medicare_enrolled","pct_medicaid_enrolled"
"47167","Tipton County, Tennessee",60611,9804,12854,16.18,21.21
"47169","Trousdale County, Tennessee",8684,1697,1794,19.54,20.66
"47171","Unicoi County, Tennessee",17481,4607,4568,26.35,26.13
"47173","Union County, Tennessee",19008,4054,5256,21.33,27.65
"47175","Van Buren County, Tennessee",5573,1485,1259,26.65,22.59
"47177","Warren County, Tennessee",39705,8130,11051,20.48,27.83
"47179","Washington County, Tennessee",124652,25155,20726,20.18,16.63
"47181","Wayne County, Tennessee",14687,3573,3453,24.33,23.51
"47183","Weakley County, Tennessee",33341,6648,7603,19.94,22.8
"47185","White County, Tennessee",25982,6141,6379,23.64,24.55
"47187","Williamson County, Tennessee",211662,26182,11732,12.37,5.54
"47189","Wilson County, Tennessee",127842,21065,16564,16.48,12.96
